id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
136042337,1888190517816,"Cáp chuyển đổi Seasy, Type-c ra 4 cổng HDMI/ VGA/ USB và cổng sạc hỗ trợ chế độ Dex - Hàng chính hãng",Cáp chuyển USB Type-c ra 4 cổng HDMI/ VGA/ USB và cổng sạc hỗ trợ chế độ Dex - Hàng chính hãng1.Thông tin sản phẩm:Chế độ tự động kết nối và hiển thị không cần cài đặtCổng input: USB Type-C (displ...,https://salt.tikicdn.com/cache/280x280/ts/product/79/d3/ac/051b67a81e685087a359b51de433d5c0.jpg,258000,,389000,,131000,34,78,,available,,1000,1000,,5048343,SeaSy
130172342,3161265138260,Cáp sạc nhanh siêu bền IP 20W Baseus Superior Series Fast Charging Data Cable Type-C to iP PD (480Mbps)-Hỗ trợ sạc nhanh PD 20W dành cho iPhone 12 / PD 18W dành cho iP11/ iP XS Max- Hàng chính hãng,Thông tin kỹ thuậtGiới thiệu sản phẩm Cáp sạc nhanh siêu bền C to ip Baseus Superior Series PD 20W dành cho iP 12/11 Series- Cáp sạc nhanh siêu bền C to ip Baseus Superior Series PD 20W là th...,https://salt.tikicdn.com/cache/280x280/ts/product/31/24/55/879615a3120c30c93dc3100debb190dc.jpg,79000,,79000,,0,0,161,,available,,1000,1000,,21651,Baseus
168122417,5706928424615,"Hub chuyển đổi USB Type C 3in1 sang HDMI, USB 3.0, cổng sạc nhanh PD Type-C dành cho Laptop, Macbook, Điện thoại, Samsung Dex","Hub chuyển đổi USB Type C 3in1 sang HDMI, USB 3.0, cổng sạc nhanh PD Type-C dành cho Laptop, Macbook, Điện thoại, Samsung DexCổng chuyển đổi đa năng USB Type-C 3in1 sang HDMI / USB 3.0 / USB-CDành c...",https://salt.tikicdn.com/cache/280x280/ts/product/db/e0/e5/4b7db81bf58d1dc454120ee279309a65.jpg,115000,,159000,,44000,28,0,,available,,1000,1000,,111461,OEM
147125769,7599836926862,Lót Chuột Phím Tắt Văn Phòng 80x30cm - Bàn Di Chuột Cỡ Lớn,Lót Chuột Phím Tắt Văn Phòng - Bàn Di Chuột Cỡ Lớn_______________________________________________________- Lót chuột phím tắt cỡ lớn tiếng lót siêu đẹp - Lót chuột cỡ lớn excel word- Bàn di chuột ...,https://salt.tikicdn.com/cache/280x280/ts/product/3c/4a/c4/5b779785925567af230747fbf0f23bec.jpg,55000,,55000,,0,0,7,,available,,1000,1000,,111461,OEM
191501918,3858993326658,Dây Cao Su Thay Thế cho Samsung Galaxy Fit 2 (SM-R220)- Hàng chính hãng,"Chỉ tương thích với Samsung Galaxy Fit 2Được làm bằng chất liệu TPU chất lượng, an toàn và thân thiện với mội trườngSử dụng đơn giản và dễ dàng, nhiều màu sắc để lựa chọnThời trang, sành điệu và bề...",https://salt.tikicdn.com/cache/280x280/ts/product/50/b9/67/31e56a7593f3c63c83196ccf3bd692ed.jpg,71250,,75000,,3750,5,72,,available,,1000,1000,,4973949,Kai Nguyễn
145124952,2104835420433,Kính cường lực full màn hình Hoco G5 cho iPhone 13/ 13 pro/ 13 pro max - Hàng nhập khẩu,"Dùng cho iPhone 13/13 pro/ 13 pro max Bảo vệ màn hình điện thoại hoàn toàn Kính alumina cao, khung 2.5D Lớp chân không mạ chống vân tay Độ dày: 0.33mmThông tin mô tả Kính cường lực full màn hình Hoco...",https://salt.tikicdn.com/cache/280x280/ts/product/b5/eb/ea/4eb4085deb63b7c27bbb7a4916460146.jpg,60000,,60000,,0,0,40,,available,,1000,1000,,21653,Hoco
33651679,4566842371815,Ốp Lưng Silicon TPU trong suốt GOR cho Samsung Note 10/ Note 10 Plus_Hàng NHập Khẩu,"GOR là thương hiệu ốp lưng, kính cường lự mới nổi gần đåy, tuy nhiên các sản phẩm của GOR rất đáng được khích lệ vì có chất lượng cao và đáp ứng cho thị trường sản phẩm cho các dòng máy mới nhanh chón...",https://salt.tikicdn.com/cache/280x280/ts/product/e1/20/f0/d307f6d2d834ccd458c7f2decd8360a0.jpg,99000,,99000,,0,0,57,,available,,1000,1000,,162313,Gor
45579046,8018221388670,Adapter Sạc 2 Cổng Tích Hợp Type-C In/Out Hỗ Trợ Sạc Nhanh PD Power Delivery 61W RAVPower RP-PC105 - Hàng Chính Hãng,"THƯƠNG HIỆURAVPower là thương hiệu phụ kiện điện thoại hàng đầu của Mỹ. Ra đời năm 2011 với công nghệ hiện đại và thường xuyên cải tiến, vì vậy các sản phẩm của RAVPower luôn đảm bảo chất lượng tốt n...",https://salt.tikicdn.com/cache/280x280/ts/product/ab/3c/2b/a9cd6acbe052f0abcfa78de4c18b304f.png,499000,,850000,,351000,41,98,,available,,1000,1000,,153086,RAVPower
72818491,2329959371596,"Giá Đỡ Điện Thoại, Máy Tính Bảng Chất Liệu Thép Không Gỉ Hợp Kim Nhôm Gập Hai Chỗ Cao Cấp. Hàng Chính Hãng Tamayoko FS077","Giá Đỡ Điện Thoại, Máy Tính Bảng phù hợp với hầu hết các thiết bị điện thoại thông minh hiện nayPhần tiếp xúc có đệm Silicon tăng độ bám và tránh gây trầy xước cho máyCó thể điều chỉnh chiề...",https://salt.tikicdn.com/cache/280x280/ts/product/d2/38/c3/4cb32f73ec606ca8714f607d2e723dcb.png,219000,,400000,,181000,45,276,,available,,1000,1000,,4244853,Tamayoko
25410296,2594881176704,Chuột Không Dây Wireless 2.4G HXSJ T21 - Hàng chính hãng,"- Chuột Không Dây HXSJ T21- Tần số : 2.4GHz - Độ Nhạy: 2400dpi- Số Key : 6 (Left , right , bottom , back , forward , DPI )- Kết Nối : không dây Wireless qua Đầu thu USB nhỏ gọn- Khoảng cách Kết n...",https://salt.tikicdn.com/cache/280x280/ts/product/15/e0/7d/f6322d35d7b591b34443fe860be31113.jpg,129000,,249000,,120000,48,34,,available,,1000,1000,,302375,HXSJ
900466,5593690614237,Miếng Lót Chuột Logitech G440 - Hàng Chính Hãng,"     Miếng Lót Chuột Logitech G440 có thiết kế bắt mắt, độc đáo với màu sắc vô cùng ấn tượng mang đến phong cách chuyên nghiệp cho các game thủ khi đang trên sàn chiến.Đế của Logitech G440 được l...",https://salt.tikicdn.com/cache/280x280/ts/product/9a/87/d7/e7fe05dee799c3ee471b492c20bed96e.png,439000,,449000,,10000,2,150,,available,,1000,1000,,18984,Logitech
75655835,8425240435658,"Chuột không dây A2 Pro, chuột máy tính không tạo tiếng ồn, sạc được pin, hiệu ứng đèn Led RGB- Hàng nhập khẩu","Kết nối không dâyKhông tạo ra tiếng ồnSạc được pin bằng cổng micro USBDung lượng pin khủngKhoảng cách kết nối 10mLed RGB đổi màu đẹp mắtDPI tùy chỉnhChế độ nghỉ thông minhChất liệu cao cấp, nhỏ gọn, t...",https://salt.tikicdn.com/cache/280x280/ts/product/21/bb/06/347694dbbb0e98f774dd1cf0a23b69fa.jpg,62900,,62900,,0,0,24,,available,,1000,1000,,171991,Zealot 
87107826,8935678253110,"Dây Cáp Sạc Type C To Lightning CHOETECH IP0039 MFI C94 Dài 1.2M Sạc Nhanh 20W Dành Cho iPhone 11, 12, IP13, IP14, Cho iPad - Hàng Chính Hãng","MÔ TẢ SẢN PHẨMTương thích cao: Dây cáp dành cho iPhone Series 6, 7, 8, X, XR, XS, XS Max, 11, 12, 13, 14. Cho iPad Series có cổng sạc light.ning, sạc nhanh đến 20W với tốc độ truyền dữ liệu 0,48 Giga...",https://salt.tikicdn.com/cache/280x280/ts/product/b8/f3/35/1d637cc6ba3e8d890797382171ecfec6.png,269000,,450000,,181000,40,73,,available,,1000,1000,,246045,CHOETECH
